Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
02/16/2022,01/01/2020,01/31/2020,United States,2020,1,264663,242901,3687,52635,8233,11122,6656,15534,4496,4886,2749,60893,14112,15011,2914,4039,1707,6543,5,3,,,,,
02/16/2022,02/01/2020,02/29/2020,United States,2020,2,244943,224328,3323,48763,7766,10444,6143,14267,4066,4507,2600,56845,12817,14493,2910,3668,1471,6432,24,20,,,,,
02/16/2022,03/01/2020,03/31/2020,United States,2020,3,269778,247616,3669,51640,8433,11385,7579,15284,4499,4727,2810,60224,13742,15436,2874,3952,1693,7260,7164,6775,,,,,
02/16/2022,04/01/2020,04/30/2020,United States,2020,4,322371,300733,3366,48771,9439,12307,5784,13765,4026,4476,2824,62279,13420,15489,2569,3480,1756,7934,65502,61976,,,,,
02/16/2022,05/01/2020,05/31/2020,United States,2020,5,280496,255465,3085,49012,8361,10706,3612,12063,3489,4122,2529,56552,12776,18174,3363,3763,2064,9434,38313,35266,,,,,
02/16/2022,06/01/2020,06/30/2020,United States,2020,6,250401,225433,3036,47960,7629,9953,3074,10935,3281,4005,2498,53581,12316,17758,4025,3979,2260,8192,18016,15822,,,,,
02/16/2022,07/01/2020,07/31/2020,United States,2020,7,278954,252460,3128,50623,8639,11024,3333,11672,3310,4262,2890,57183,13023,18796,4106,4181,2421,8558,31127,28275,,,,,
02/16/2022,08/01/2020,08/31/2020,United States,2020,8,277209,251073,3267,51207,8299,10966,3207,11514,3390,4230,2847,56227,13094,18704,4223,4049,2342,8299,29902,27025,,,,,
02/16/2022,09/01/2020,09/30/2020,United States,2020,9,257109,232831,3135,49668,7992,10472,3083,11065,3303,3989,2624,53875,12770,17167,4081,3919,2187,7525,19148,16851,,,,,
02/16/2022,10/01/2020,10/31/2020,United States,2020,10,273784,249356,3250,51253,8314,11066,3338,11600,3558,4237,2727,56878,13615,17167,4188,3797,2362,7397,24916,22075,,,,,
